year,start_timestamp,end_timestamp
1970,0.0,31536000.0
1971,31536000.0,63072000.0
1972,63072000.0,94694400.0
1973,94694400.0,126230400.0
1974,126230400.0,157766400.0
1975,157766400.0,189302400.0
1976,189302400.0,220924800.0
1977,220924800.0,252460800.0
1978,252460800.0,283996800.0
1979,283996800.0,315532800.0
1980,315532800.0,347155200.0
1981,347155200.0,378691200.0
1982,378691200.0,410227200.0
1983,410227200.0,441763200.0
1984,441763200.0,473385600.0
1985,473385600.0,504921600.0
1986,504921600.0,536457600.0
1987,536457600.0,567993600.0
1988,567993600.0,599616000.0
1989,599616000.0,631152000.0
1990,631152000.0,662688000.0
1991,662688000.0,694224000.0
1992,694224000.0,725846400.0
1993,725846400.0,757382400.0
1994,757382400.0,788918400.0
1995,788918400.0,820454400.0
1996,820454400.0,852076800.0
1997,852076800.0,883612800.0
1998,883612800.0,915148800.0
1999,915148800.0,946684800.0
2000,946684800.0,978307200.0
2001,978307200.0,1009843200.0
2002,1009843200.0,1041379200.0
2003,1041379200.0,1072915200.0
2004,1072915200.0,1104537600.0
2005,1104537600.0,1136073600.0
2006,1136073600.0,1167609600.0
2007,1167609600.0,1199145600.0
2008,1199145600.0,1230768000.0
2009,1230768000.0,1262304000.0
2010,1262304000.0,1293840000.0
2011,1293840000.0,1325376000.0
2012,1325376000.0,1356998400.0
2013,1356998400.0,1388534400.0
2014,1388534400.0,1420070400.0
2015,1420070400.0,1451606400.0
2016,1451606400.0,1483228800.0
2017,1483228800.0,1514764800.0
2018,1514764800.0,1546300800.0
2019,1546300800.0,1577836800.0
2020,1577836800.0,1609459200.0
2021,1609459200.0,1640995200.0
2022,1640995200.0,1672531200.0
2023,1672531200.0,1704067200.0
2024,1704067200.0,1735689600.0
2025,1735689600.0,1767225600.0
2026,1767225600.0,1798761600.0
2027,1798761600.0,1830297600.0
2028,1830297600.0,1861920000.0
2029,1861920000.0,1893456000.0
2030,1893456000.0,1924992000.0
